"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","neg_log10_padj","significant","marked"
1611.67451005904,8.31980116497931,0.691549998823998,12.030657478313,2.45200294216367e-33,2.59651786556744e-30,"Il1b",29.5856086848576,"Up",TRUE
3070.1550261089,5.17567264314766,0.451259855870938,11.4693841603937,1.87992363974439e-30,1.87362036636407e-27,"Socs3",26.7273184014394,"Up",TRUE
708.603110123552,10.3099997845892,0.974721076379421,10.5773846841247,3.79400754249111e-26,3.061041418687e-23,"Cxcl2",22.5141307939618,"Up",TRUE
310.451440457012,7.35366276058535,0.706139740611909,10.4138916671267,2.14278859554492e-25,1.57848987714424e-22,"Il1r2",21.8017581988934,"Up",TRUE
1853.04981460134,6.49304518922117,0.643259005502936,10.093982569501,5.87369918202382e-24,3.01569955275847e-21,"Pla2g2a",20.5206119284119,"Up",TRUE
201.489763274458,7.3591690131916,0.784485477546308,9.38088622903436,6.5420508100186e-21,2.26208095661521e-18,"Ccl7",17.6454918563592,"Up",TRUE
279.416087029639,3.44598523759969,0.422767792929978,8.15101172612372,3.60892120013971e-16,4.73999627085016e-14,"Hmox1",13.3242220000031,"Up",TRUE
1149.73179895532,5.78303938042908,0.720745848184004,8.02368739965699,1.02617242520742e-15,1.2418885285921e-13,"Cxcl13",12.9059173845056,"Up",TRUE
100.230973977307,3.7616931692015,0.511115898473268,7.35976552566235,1.84233547617543e-13,1.36906534968598e-11,"Tnf",10.8635758211643,"Up",TRUE
195.395711316649,1.76776604437645,0.245216976656986,7.20898719361194,5.63695622901335e-13,3.74537056424209e-11,"Il3ra",10.4265052070583,"Up",TRUE
376.761070909634,2.1196415985355,0.295337300109786,7.17701962382525,7.12474645600651e-13,4.66079456386557e-11,"Tnfrsf12a",10.331540039257,"Up",TRUE
195.132061734171,3.44771343726894,0.500138404753834,6.89351868302514,5.44289670257006e-12,3.04370509947177e-10,"Ltb",9.51659742807635,"Up",TRUE
191.24844986843,3.35216937616211,0.49588433440648,6.75998240632927,1.38008498018268e-11,7.02185580157211e-10,"Socs1",9.15354809330196,"Up",TRUE
1476.33740521032,2.12553846668926,0.317596474314486,6.69257576387496,2.19276152482252e-11,1.07686836275559e-09,"Cd14",8.96783738196008,"Up",TRUE
1321.59370252656,2.16191601211492,0.327922958437836,6.59275587904515,4.31736178281797e-11,1.96637259909368e-09,"Tnfrsf1b",8.70633418619955,"Up",TRUE
767.884509104363,1.23172865217748,0.188078897884532,6.54899973379086,5.79237348405607e-11,2.57585784620373e-09,"Myd88",8.58907810804856,"Up",TRUE
163.526045276579,2.23069681537659,0.386709666483771,5.7684020046864,8.00267251381188e-09,2.24485563578667e-07,"Il2rg",6.6488115827663,"Up",TRUE
125.810423290964,4.66977017961077,0.875334074773937,5.33484336345158,9.5627070107567e-08,2.02526181104063e-06,"Cxcl9",5.69351882640458,"Up",TRUE
263.900327294051,1.61012394228999,0.313219714463919,5.14055746792869,2.73924524544605e-07,5.044677412347e-06,"Crlf2",5.29716659999534,"Up",TRUE
605.858250289774,1.81052983546615,0.36169065943863,5.00574119961024,5.56474822327779e-07,9.3659387285964e-06,"Pim1",5.02844868767283,"Up",TRUE
418.614649332164,1.22854780429857,0.251472620588945,4.88541377356043,1.03211868437568e-06,1.5796916774505e-05,"Stat1",4.80142766991175,"Up",TRUE
1232.67508987262,1.71756147248163,0.354231580748872,4.84869663187731,1.24275305800806e-06,1.85188786823487e-05,"Il4ra",4.73238531337825,"Up",TRUE
107.311367573768,9.63647000356772,2.04665740695863,4.70839426804102,2.49675817185872e-06,3.34143552178534e-05,"Il6",4.47606691484943,"Up",TRUE
20.6217232962029,5.95545059082998,1.33037529618744,4.47651922573802,7.58698387973159e-06,8.7209136956779e-05,"A2m",4.05943801137441,"Up",TRUE
6158.7668419599,1.61628065840207,0.361069896038785,4.47636503661455,7.59246262873965e-06,8.72129453008379e-05,"Cd38",4.05941904654165,"Up",TRUE
79.7938380315236,1.58328450599364,0.354844561285312,4.46191002691064,8.12323342849586e-06,9.2494586007396e-05,"Pf4",4.03388368710881,"Up",TRUE
556.036528323398,1.10865099310449,0.253683491521093,4.37021339645313,1.2412517372734e-05,0.000132601060432681,"Ptpn2",3.87745300279233,"Up",TRUE
1208.14595688405,1.40055009676835,0.322310507725423,4.34534420442004,1.39057438614377e-05,0.000146246586409538,"Ptpn1",3.83491426214016,"Up",TRUE
22.1596454405257,2.67153322930488,0.619450655936713,4.31274582357988,1.61239448897799e-05,0.000165668889185895,"Il12rb1",3.78075903970044,"Up",TRUE
112.862116482453,2.92284757698129,0.767869718874907,3.80643682793468,0.000140983282014849,0.00102518444084875,"Cxcl10",2.9891979936942,"Up",TRUE
448.14113831226,1.73130204605911,0.459819422202105,3.76517816008684,0.00016643037044305,0.00117615622581072,"Osmr",2.92953498820776,"Up",TRUE
601.389040042373,1.1203049451409,0.343879887921589,3.25783793845005,0.00112264499462894,0.00569989812140375,"Il17ra",2.24413290673235,"Up",TRUE
34.369464711127,1.38621120934299,0.449660043557482,3.08279828106582,0.00205064105849547,0.00930555572241934,"Il9r",2.03125768594283,"Up",TRUE
114.583854146553,1.71566715127467,0.569264211071541,3.01383280014253,0.00257969933179249,0.0112272914920524,"Map3k8",1.94972500170207,"Up",TRUE
909.836347997106,1.11562757970433,0.371409747750888,3.00376494278928,0.00266661258405975,0.011505071813528,"Il10rb",1.93911066616339,"Up",TRUE
22.0626210265649,1.59043566595153,0.547776404403888,2.90343952964223,0.00369088239999573,0.0149308442920969,"Ebi3",1.82591563359905,"Up",TRUE
