"gene"
"Il6"
"Il1b"
"Ccl7"
"Il11"
"Cxcl13"
"Nos2"
"Timp1"
"Cxcl9"
"Stat4"
"Tnf"
"H2-Ob"
"Ccl5"
"Cd79a"
"H2-DMb2"
"Ltb"
"Gzmb"
"Srgn"
"Ccr5"
"Socs1"
"Hcls1"
"Capg"
"Lcp2"
"Il18rap"
"Fgr"
"H2-Oa"
"Cd80"
"Spi1"
"Ccr2"
"Ncf4"
"Lif"
"Nme1"
"Inhba"
"Il12rb1"
"Fcgr2b"
"Was"
"Ly86"
"Map4k1"
"Cd86"
"Cd40"
"Il2ra"
"Gzma"
"Inhbb"
"Icam1"
"Ptprc"
"Il12a"
"Il2rg"
"Bcl3"
"Il27ra"
"Il16"
"Cd2"
"Cd247"
"Gpr65"
"Rpl39-ps"
"Npm1"
"Itgal"
"Cd3d"
"H2-DMa"
"Il4ra"
"Il2rb"
"Cfp"
"Pf4"
"Hif1a"
"Lyn"
"Tap1"
"Ets1"
"H2-Aa"
"Cd3g"
"Klrd1"
"Cartpt"
"Tgfb1"
"Cd47"
"Ifnar2"
"Lck"
"Prkcb"
"Eif5a"
"Il18"
"Stat1"
"Ripk2"
"Psmb10"
"Rps3a1"
"Cd8a"
"Abce1"
"Itk"
"Ptpn6"
"Zap70"
"Cd3e"
"Brca1"
"Icosl"
"C2"
"Ube2n"
