"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",91,-0.308861752222551,-1.21121004434165,0.145054945054945,0.230113636363636,0.106578947368421,4431,"tags=37%, list=26%, signal=28%","Fads1/Isoc1/Hsd17b4/Hsd17b11/Pex1/Idi1/Slc23a2/Lonp2/Crot/Nedd4/Cat/Pnpla8/Abca6/Abca2/Rxra/Ar/Retsat/Pfkm/Tfcp2l1/Abca3/Hacl1/Dhcr24/Cyp39a1/Klf1/Atxn1/Abcg4/Bmp6/Fads2/Nr3c2/Aldh1a1/Abca8b/Slc27a2/Ttr/Dio1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",175,0.265677808985023,1.08888157349199,0.259398496240602,0.393028024606972,0.182034032449545,1748,"tags=16%, list=10%, signal=14%","Il6/Mt1/Plaur/Hmox1/Ier3/Cxcr4/Cp/Chst3/Adora2b/Adm/Pfkfb3/Mif/Angptl4/Hs3st1/Anxa2/Pim1/Ak4/Dusp1/Pgf/Slc2a3/Pgk1/Ets1/Zfp36/Nfil3/Ppp1r15a/Prdx5/Tgm2/Fam162a"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",169,-0.254521132018044,-1.08336385443181,0.269736842105263,0.396671826625387,0.183721688121232,2249,"tags=22%, list=13%, signal=19%","Tspan13/Scnn1a/Nrip1/Cpe/Abca3/Il17rb/Celsr2/Npy1r/Homer2/Cyp26b1/Kcnk5/Pdcd4/Tpd52l1/Ptger3/Ckb/Rapgefl1/Abhd2/Ugdh/Large1/Cav1/St6galnac2/Chpt1/Tfpi2/Pcp4/Prss23/Atp2b4/Slc27a2/Gper1/Nmu/Fgfr3/Slc24a3/Slc26a2/Hmgcs2/Cacna2d2/Pdlim3/Scube2/Prlr"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",38,-0.327160332035671,-1.06572942060102,0.363265306122449,0.518950437317784,0.240355992020869,3376,"tags=29%, list=20%, signal=23%","Hey1/Axin2/Ctnnb1/Wnt5b/Frat1/Fzd8/Hdac5/Gnai1/Ptch1/Nkd1/Hdac11"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",160,-0.24027811034359,-1.01315374748106,0.424036281179138,0.58893927941547,0.272771876781902,3162,"tags=23%, list=19%, signal=19%","Cat/Hgfac/Slc22a1/Pink1/Hnf4a/Fbln1/Bphl/Gabarapl1/Etfdh/Entpd5/Retsat/Abcc3/Pycr1/Aox1/Cyp2s1/Csad/Adh7/Ttpa/Cdo1/Hacl1/Aldh2/Enpep/Pcx/Ddc/Rap1gap/Maoa/Ugdh/Cfb/Rbp4/Cyp2e1/Upb1/Abcc2/Ces1d/Cyp4f14/Pdk4/Cyp2c55/Fbp1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",90,-0.253166697029849,-0.992069003555624,0.4880174291939,0.642128196307763,0.297406743553069,4455,"tags=33%, list=26%, signal=25%","Ndrg1/Bmpr1b/Fads1/Dnajb9/Sgk1/Idi1/Ptpn21/Gpd1l/Pgm3/Herc3/Lifr/Sord/Zmiz1/Cdc14b/Tsc22d1/Zbtb10/Ncoa4/Mertk/Dhcr24/Acsl3/Cdk6/Homer2/Inpp4b/Abhd2/Azgp1/Insig1/Hpgd/Ank/Selenop/Slc26a2"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",39,-0.303295059381814,-0.987703071060268,0.485416666666667,0.642128196307763,0.297406743553069,4607,"tags=46%, list=27%, signal=34%","Ephb4/Adipor2/Atp8b1/Crocc/Pkhd1/Hspb1/Mdga1/Afap1l2/Srpx/Cx3cl1/App/Dcbld2/Rtn4rl1/Ntng1/Gas1/Slc2a4/Tmem8b/Mal"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",183,0.23221857236892,0.962839365958518,0.550644567219153,0.696854663774403,0.322753739011303,4826,"tags=34%, list=28%, signal=25%","Ier3/Cxcr4/Slc16a3/Adora2b/Mif/Angptl4/Cdk1/Prps1/Spag4/Ak4/Pygl/Nasp/Artn/Pgk1/Ppia/Pfkfb1/Depdc1a/Fam162a/Aurka/Dcn/Gnpda1/Gale/Cenpa/Sap30/Psmc4/Aldoa/Cd44/Ndufv3/Pmm2/Bik/Pkm/Stc2/Tgfbi/G6pdx/Ldha/Stmn1/Mpi/Fbp2/Gmppb/Tpi1/Ddit4/Cyb5a/Elf3/Hax1/Pkp2/Nol3/Hspa5/Got1/Gmppa/Egln3/Gusb/Idh1/B4galt7/Galk1/Fkbp4/Polr3k/Ecd/Slc25a10/Slc37a4/Arpp19/Hmmr/Taldo1/Isg20"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",168,-0.225435464238413,-0.959290951104806,0.557483731019523,0.696854663774403,0.322753739011303,2103,"tags=27%, list=12%, signal=24%","Ctns/Nr3c1/Hagh/Daam1/Add1/Klf3/Gde1/Mkrn1/Kat2b/Tspan5/Ccdc28a/Khnyn/Dmtn/Ezh1/Car2/Endod1/Btrc/Cat/Vezf1/Arhgef12/Igsf3/Sptb/Tnrc6b/Tfdp2/Mfhas1/Ncoa4/Tmcc2/Narf/Acsl6/Bcam/Xk/Pcx/Add2/Klf1/Tent5c/Rap1gap/Selenbp1/Aldh6a1/Foxo3/Tns1/Ank1/Ctse/Fn3k/Slc30a10/Spta1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",163,-0.219308955367961,-0.924881436995726,0.656179775280899,0.797035232003249,0.369153160085715,2932,"tags=21%, list=17%, signal=18%","Cd34/Nrap/Jam3/Grb7/Amigo1/Nexn/Cdh6/Nrxn2/Cx3cl1/Lama3/Pik3r3/Cadm3/Sgce/Ppp2r2c/Calb2/Mpzl2/Dmp1/Cntn1/Nlgn3/Cdh4/Negr1/Pkd1/Gnai1/Thbs3/Cldn15/Speg/Insig1/Cldn5/Flnc/Irs1/Actc1/Kcnh2/Tmem8b/Myl9/Actg2"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",34,-0.278464864104545,-0.873891540193044,0.669509594882729,0.797035232003249,0.369153160085715,4784,"tags=38%, list=28%, signal=27%","Foxa2/Gcg/Insm1/Scgn/Pax6/Stxbp1/Dpp4/Pcsk2/Dcx/Hnf1a/Vdr/Pcsk1/G6pc2"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",188,-0.210293723968636,-0.906877396438248,0.714596949891068,0.830926685919846,0.384850254531297,2150,"tags=13%, list=13%, signal=11%","Slc27a1/Acly/Reep6/Mccc1/Gbe1/Cavin1/Aldh2/Mgll/Pdcd4/Ptger3/Bckdha/Sncg/Sorbs1/Gpam/Slc5a6/Sspn/Sult1a1/Cyp4b1/Cavin2/Itih5/Mylk/Retn/Adipoq/Sparcl1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",172,-0.208614633701459,-0.889971307987916,0.754966887417219,0.85263074984247,0.394902663084934,2875,"tags=20%, list=17%, signal=17%","Add3/Aff1/Hspb8/Klf4/Tff3/Ar/Sybu/Clic3/Deptor/Nav2/Scnn1a/Nrip1/Calb2/Abca3/Il17rb/Celsr2/Npy1r/Cyp26b1/Kcnk5/Tpd52l1/Rapgefl1/Abhd2/Cbfa2t3/Gfra1/Adcy1/Syngr1/Chpt1/Retreg1/Abat/Prss23/Slc27a2/Slc24a3/Slc26a2/Pdlim3"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",192,0.210609186629696,0.881356691976122,0.771062271062271,0.85263074984247,0.394902663084934,3441,"tags=20%, list=20%, signal=16%","Dock2/Birc5/Prex1/Pif1/Cdk1/Rhof/Arhgap4/Ndc80/Bub1/Ccnb2/Fscn1/Kif22/Tpx2/Incenp/Aurka/Nek2/Tuba4a/Shroom1/Kif23/Fbxo5/Racgap1/Kif2c/Lmnb1/Kif15/Kif20b/Top2a/Kif4/Dlgap5/Ssh2/Cenpe/Plekhg2/Ywhae/Smc4/Tubd1/Cdc42ep2/Cep57/Uxt/Nusap1/Anln"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",67,0.230947594118736,0.819167907349659,0.784420289855073,0.85263074984247,0.394902663084934,1715,"tags=10%, list=10%, signal=9%","Plaur/S100a11/Tnfrsf12a/Fabp5/Lgmn/Nfil3/Cxcl16"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",85,-0.20102903543326,-0.775279120331188,0.898901098901099,0.956277764788403,0.44290759632305,2445,"tags=16%, list=14%, signal=14%","Scg3/Ace/Gfi1/Oaz3/Nos1/Lpin1/Camk4/Gapdhs/Cftr/Chrm4/Zc2hc1c/Slc2a5/Tcp11/Art3"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",27,-0.211371364863561,-0.647517678358563,0.935871743486974,0.974866399465598,0.451517069226172,4293,"tags=30%, list=25%, signal=22%","Fbxw11/Prkca/Dtx4/St3gal6/Fzd5/Heyl/Arrb1/Fzd7"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.186920275311001,-0.636708213941882,0.972103004291845,0.991941841114128,0.459425694831807,5444,"tags=37%, list=32%, signal=25%","Apc/Bmpr1a/Cdh1/Smurf1/Acvr1/Smurf2/Ncor2/Tjp1/Ski/Sptbn1/Ppm1a/Ctnnb1/Hipk2/Nog/Smad7/Bmp2/Slc20a1/Smad6"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",92,-0.121261424809378,-0.473725191029413,1,1,0.463157894736842,5900,"tags=29%, list=35%, signal=19%","Cltc/Copb1/Arfgef1/Sgms1/Rab5a/Cog2/Gbf1/Mon2/Arfgef2/Sec24d/Rps6ka3/Pam/Yipf6/Ap3b1/Cln5/Scamp1/Arfgap3/Gnas/Atp7a/Golga4/Sh3gl2/Kif1b/Atp1a1/Igf2r/Scrn1/Dst/Sspn"
