"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",183,0.480039830598315,1.99037157714426,2.00103802228981e-07,8.33765842620754e-07,3.86165232371717e-07,1603,"tags=23%, list=9%, signal=22%","Il1r2/Tnfrsf8/Spp1/Sell/Tnfrsf9/Tnfsf11/Ctla4/Rhoh/Cd79b/Ltb/Socs1/Capg/Cxcl10/Tlr7/Il1rl1/Lif/Batf/Il10ra/Ccr4/Icos/Cd86/Ager/Tnfrsf4/Ccne1/Il2ra/Gadd45b/Penk/Tnfrsf1b/Ifitm3/Phlda1/Gpr65/Pim1/Il3ra/Cd48/Il4ra/Map3k8/Il2rb/Rgs16/Nfkbiz/Batf3/Glipr2/Slc2a3/Nfil3"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",142,0.507785147407958,2.04083778714999,2.53855163864303e-07,9.76366014862704e-07,4.5221162793641e-07,5465,"tags=61%, list=32%, signal=41%","Hcls1/Nme1/Aprt/Dut/Polr2f/Ada/Polr2h/Pde4b/Gtf2h5/Rad51/Rpa2/Taf10/Polr2k/Pold4/Rfc5/Polr2i/Gtf2f1/Rpa3/Eif1b/Aaas/Ercc8/Taf13/Polr1d/Pole4/Cetn2/Rfc4/Clp1/Gtf2a2/Upf3b/Tarbp2/Rbx1/Pcna/Pold3/Nelfe/Lig1/Polr2d/Pnp/Alyref/Prim1/Rfc3/Nudt9/Taf12/Polr2c/Tk2/Tyms/Mrpl40/Polb/Gtf2h1/Nt5c/Snapc5/Nme4/Polr2g/Dad1/Rala/Itpa/Sf3a3/Srsf6/Nudt21/Adrm1/Gtf2b/Rfc2/Edf1/Polr2e/Gsdme/Polr1c/Mpc2/Vps28/Pola2/Arl6ip1/Guk1/Sdcbp/Gpx4/Zwint/Ell/Cstf3/Polr2j/Polr3c/Polr3gl/Ercc3/Tsg101/Pold1/Ncbp2/Ssrp1/Bcap31/Ercc5/Rnmt"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",121,-0.501890847866566,-2.04687349402125,4.77868381231266e-07,1.70667279011167e-06,7.90458976472772e-07,2268,"tags=41%, list=13%, signal=36%","Clstn3/Chst2/Ypel1/Nos1/Tfcp2l1/Adra2c/Celsr2/Gdnf/Cpeb3/Kcnq2/Sncb/Cyp39a1/Plag1/Hnf1a/Camk1d/Slc6a14/Grid2/Hsd11b2/Slc16a7/Tent5c/Abcg4/Magix/Egf/Coq8a/Zc2hc1c/Prkn/Zbtb16/Ryr2/Pdk2/Kcnmb1/Tenm2/Actc1/Edn2/Ckm/Slc25a23/Ntf3/Capn9/Sstr4/Ngb/Klhdc8a/Selenop/P2rx6/Sptbn2/Edn1/Igfbp2/Fgfr3/Clps/Smpx/Tex15/P2ry4"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",165,0.459212538029308,1.87615646371223,4.92287342631018e-06,1.64095780877006e-05,7.60022564061922e-06,1649,"tags=25%, list=10%, signal=23%","Il1b/Slpi/Spp1/Mmp10/Aldh1a3/Plaur/Il33/Arg1/Cd37/Fcer1g/F13a1/Clec4a3/Cxcr4/Cxcl10/Lif/G0s2/Il10ra/Inhba/Dock2/Lcp1/Map4k1/Ikzf1/Plat/Il2rg/Cfh/Angptl4/Laptm5/Tnfrsf1b/Hbegf/Plek2/Psmb8/Gadd45g/Lat2/Gpnmb/Rgs16/Yrdc/Prdm1/C3ar1/Ets1/Nr1h4/Ppp1r15a"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",102,0.509118071707933,1.95300114526851,1.01614362342227e-05,3.17544882319458e-05,1.47073419179539e-05,3849,"tags=44%, list=23%, signal=34%","Cebpb/Psat1/Cks1b/Nop56/Banf1/Mthfd2/Nhp2/Npm1/Arxes2/Lsm4/Eif4ebp1/Exosc1/Chac1/Rrp9/Exosc2/Atf4/Pop4/Nabp1/Slc7a5/Asns/Nolc1/Nop14/Hsp90b1/Exosc5/Eif4e/Dcp2/Ywhaz/Eif4a1/Exosc4/Ssr1/Calr/Stc2/Eif4a3/Exosc9/Lsm1/Preb/Serp1/Eif2s1/Rps14/Zbtb17/Hspa9/Ddit4/Hspa5/Imp3/Sdad1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",90,0.517142954212807,1.93957800850044,3.37187980526529e-05,9.36633279240359e-05,4.3380909775343e-05,4880,"tags=56%, list=29%, signal=40%","Sell/Ifitm1/Cxcl10/Isg15/Ifitm3/Psmb8/Cxcl11/Psme2/Ifit2/Psmb9/Slc25a28/Il4ra/Sp110/Casp8/Tap1/Cd47/Psme1/Ripk2/Usp18/Bst2/Gbp3/Ifitm2/Pnpt1/Lpar6/Ube2l6/Psma3/Cd74/Epsti1/Batf2/Mx2/Ifi35/Ifi30/Plscr1/Ccrl2/Uba7/Rtp4/Trim12c/Trafd1/Cnp/Stat2/Ifit3/Trim26/Lap3/Mvb12a/Irf1/B2m/Irf7/Dhx58/Isg20/Irf9"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",153,-0.428888111565371,-1.79757740397377,3.24965100282775e-05,9.36633279240359e-05,4.3380909775343e-05,2846,"tags=37%, list=17%, signal=31%","Myh2/Hspb8/Eno3/Ldb3/App/Chrna1/Prnp/Cav3/Cdkn1a/Sgcd/Nav2/Pgam2/Pfkm/Nos1/Cryab/Lpin1/Pkia/Gsn/Pygm/Tagln/Schip1/Hdac5/Erbb3/Ctf1/Pcx/Tpd52l1/Ckb/Gnao1/Fxyd1/Dtna/Cfd/Large1/Speg/Sorbs1/Igfbp3/Aplnr/Dmd/Cacna1h/Fhl1/Cdh13/Dmpk/Ckmt2/Sspn/Hspb2/Tpm2/Actc1/Sh3bgr/Kcnh2/Ckm/Mylk/Hrc/Smtn/Myom1/Des/Sgca/Myh11/Casq2"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",26,0.676217145893655,1.93599497382135,0.00021715188716225,0.0005714523346375,0.000264672660253158,440,"tags=19%, list=3%, signal=19%","Olr1/Cxcl5/Spp1/Timp1/Pglyrp1"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",144,0.381431911686302,1.53594002027066,0.00398690307698451,0.00996725769246127,0.00461641408913996,3713,"tags=32%, list=22%, signal=25%","Il6/Il1b/Il1a/Timp1/Tnf/Cd69/Hmox1/Ier3/Plat/Gadd45b/Cd14/Tnfrsf12a/Cd2/Ifitm3/Bax/Anxa1/Cd38/Sat1/Casp8/Tap1/Gpx3/Gadd45a/Gsr/Egr3/Gch1/Il18/Tspo/Hmgb2/Dcn/Brca1/Dnaja1/Vdac2/Top2a/Lef1/Cd44/Bik/Ddit3/Cdk2/Gpx1/Diablo/Satb1/Bcl2l1/Cdc25b/Psen2/Pmaip1/Sod2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",33,-0.55490836521773,-1.73234931454142,0.00427634042711214,0.0101817629216956,0.00471576387952216,3923,"tags=58%, list=23%, signal=44%","Myh9/Cntfr/Nf1/L1cam/Rtn1/Unc5c/Tle1/Hey1/Slit1/Nrcam/Scg2/Vldlr/Ophn1/Cdk6/Amot/Ptch1/Adgrg1/Nrp2/Gli1"
