"","C1","C2","C3","C4","M2","M3","M4","M5"
"Vil1",13.1918933586034,13.3163026569504,13.0930869764158,13.3992944650909,13.4364165257633,13.5326437148078,12.9073437957741,12.0976559213571
"Plekha6",13.7005136784906,13.6597068724376,13.5031095075602,13.0103507867058,13.0457479903837,13.0826774959557,11.6342822340297,11.9719892363591
"Malat1",13.0858379324428,12.8173200424154,13.2472577068003,12.784473279783,12.5871651801062,13.222742325989,11.3023708323046,13.0246310401615
"Krt20",12.6945463860302,12.8708611896418,12.7579695804894,13.8663993165081,13.6437651538868,13.3495824879654,13.2522678088536,11.9611654374729
"Eef1g",12.677340356659,12.58323969589,12.5950272689696,12.5484379586164,13.2145490982358,12.6869505879818,13.9761269232554,13.0019788012833
"Cldn7",12.9615160453434,12.9647219091019,12.9520909456752,13.0238200948585,13.8496761798021,13.3892999911241,13.4689651303177,12.2474515639356
"Plxnb2",13.0603274383757,13.2845802520442,12.8162724873537,12.9859055271988,13.1974179470495,13.1303346244813,12.6456996755802,12.8247149934645
"Elf3",12.8487037401689,12.8460648844165,12.8915606789406,12.5600660346658,14.1394790374448,13.9930647665786,13.4158522119227,11.8619685541646
"Rps18",11.901450045914,12.0675746050101,12.4565846448947,11.8416710097366,13.5602387487693,14.0379970350976,13.7799141657708,12.4911017165593
"Sprr2a2",13.4957505396039,12.2145684512833,13.3396931269551,13.0295543806937,13.5152936425338,13.2603842268632,14.1165141831267,11.5115046837769
"Txn1",12.7726955624866,12.9882011631653,12.8035378520555,12.915074174345,13.5710864221659,13.1575809997505,13.5660467310555,12.2994333089944
"Mgat4a",13.7594294180035,13.6913493352723,13.4882521049729,12.3719568951595,12.3797513622644,12.0328540830544,12.4114457210433,12.1568882547275
"Rps14",12.4209031071459,12.3061903357573,12.5707304344314,12.287103122539,13.0467447121849,12.9545356106205,13.9252697772935,12.5517743868072
"Eif4g1",12.8423165053753,12.9546783362406,12.6547173100385,13.0412461679277,12.5178396951424,12.047620429585,13.2143748479452,13.3294575783868
"Thbs1",10.417937245575,10.731161715112,10.3143276930291,10.8751575224936,10.039589887857,10.3480322816394,11.2242401944915,15.0452772501862
"Dync1h1",13.2883358196554,13.3972830436572,12.9337968538331,12.9638060626367,12.2448606839518,11.8892916263071,11.982651268905,12.9932549501744
"Rpl41",12.018051045346,11.7067342726615,12.3243447333026,12.0813691886898,13.4723197010665,13.3964776558141,14.1819703250592,12.5100098535617
"Tpi1",12.4155982522331,12.3591231274416,12.407626037834,12.4006054293076,13.3729823664486,12.7222896108991,13.8348386974869,12.4282273566239
"H3f3b",12.3461274326966,12.6479902490697,12.3526427255389,12.5955882077948,13.2226862391383,12.9966033780173,13.9133155094502,12.8565004312564
"Bsg",12.9813143093213,12.9013935030095,12.9558797588965,13.0684973841769,13.3208723133673,13.0151150193751,13.0718824661923,12.1129812125807
"Myo1a",13.1134036943278,13.123712715526,13.0249871985267,12.877250582821,13.4583051974373,13.6251654970911,12.4648399330386,11.7290385717437
"Hsp90b1",12.5997204734348,12.5137095076867,12.178208106308,12.3284848245301,13.3672489823294,13.391297371569,13.9319562632798,13.138932174663
"Mxd1",13.3603124991926,13.1569083754909,13.2080824429959,13.4612031852672,13.1795357715523,13.1062165026886,12.1732235645749,12.1691124911093
"Ucp2",12.8528216388034,12.9751692873807,12.8575335148964,13.0272046097699,13.4807520235993,12.9458641113768,13.0878853475337,12.6651784002849
"Rps11",12.2574126297182,12.1252842633817,12.3357790901118,11.9646519382906,13.611121261536,13.9622235706173,13.629881992768,12.3886213185277
"Sparc",12.3474546329838,12.1408352431756,12.4674635340622,12.2246400734597,10.0539418083919,10.0930692415347,11.3908631657934,13.8587346636424
