"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","neg_log10_padj","significant","marked"
1611.67451005904,8.31980116497931,0.691549998823998,12.030657478313,2.45200294216367e-33,2.59651786556744e-30,"Il1b",29.5856086848576,"Up",TRUE
3070.1550261089,5.17567264314766,0.451259855870938,11.4693841603937,1.87992363974439e-30,1.87362036636407e-27,"Socs3",26.7273184014394,"Up",TRUE
708.603110123552,10.3099997845892,0.974721076379421,10.5773846841247,3.79400754249111e-26,3.061041418687e-23,"Cxcl2",22.5141307939618,"Up",TRUE
552.754379496643,3.34579861979974,0.345370571305904,9.68756141308947,3.40562822393177e-22,1.51846207889674e-19,"Ier3",18.8185960494036,"Up",TRUE
458.400855981669,4.00928472288252,0.416275763985355,9.63131911523818,5.89675662368874e-22,2.4367987189063e-19,"Plaur",18.6131803423288,"Up",TRUE
1796.44255672988,2.21351161010155,0.237991663377782,9.30079473661173,1.39399774583985e-20,4.37379700143789e-18,"Bcl3",17.3591413774944,"Up",TRUE
713.783930469725,1.95734474654624,0.232296288622397,8.42606981865278,3.5746893679088e-17,6.11777393540191e-15,"Phlda1",14.2134065751482,"Up",TRUE
2601.23586657385,1.46248650546134,0.174836883362682,8.36486259268051,6.01850241601317e-17,9.64134827913461e-15,"Junb",14.0158622286238,"Up",TRUE
919.026625800576,7.39598833400854,0.885769837169086,8.34978571594407,6.83869232281542e-17,1.07285151875427e-14,"Cxcl5",13.9694603796629,"Up",TRUE
816.606769926227,2.73402755059507,0.343818201824618,7.95195698216612,1.83588008295362e-15,2.10171055712725e-13,"Cebpb",12.6774270942535,"Up",TRUE
136.930017118675,6.15754572867611,0.776555125345241,7.92930923730442,2.20368182111564e-15,2.42837793523577e-13,"Il1a",12.6146837218742,"Up",TRUE
142.860856420479,2.7108606335063,0.348579790918003,7.77687262467829,7.43393889981433e-15,7.49721587973537e-13,"Fosl1",12.1250999836146,"Up",TRUE
504.503710647574,2.49388536992197,0.322584535256708,7.7309514169282,1.06745758976229e-14,1.05150778740363e-12,"Areg",11.9781875066069,"Up",TRUE
100.230973977307,3.7616931692015,0.511115898473268,7.35976552566235,1.84233547617543e-13,1.36906534968598e-11,"Tnf",10.8635758211643,"Up",TRUE
130.683847705058,5.27823576020467,0.728082880349889,7.24949851542746,4.18317546349405e-13,2.86945513676031e-11,"Dusp2",10.5422005609535,"Up",TRUE
81.1863076847777,3.07243030992085,0.44067806368269,6.97205185174171,3.123513782514e-12,1.8375588200394e-10,"Phlda2",9.73575875030653,"Up",TRUE
62.6911414007913,3.2378649047503,0.469813598668078,6.89180754650281,5.50878697458249e-12,3.0702426878405e-10,"Tnfsf9",9.5128272942869,"Up",TRUE
283.47541083052,5.89373032666089,0.87587746874844,6.72894387280286,1.70898955789781e-11,8.54141890249636e-10,"Cxcl1",9.06846997821752,"Up",TRUE
640.181404887436,2.20791597002704,0.335111772907027,6.58859565235149,4.44006165567366e-11,2.01683551292437e-09,"Gadd45b",8.69532952010268,"Up",TRUE
675.455087070584,3.91637681914043,0.605496748180138,6.46803939230288,9.92826198199208e-11,4.13329526755544e-09,"Plek",8.38370356919454,"Up",TRUE
62.6575805052445,3.47746875350186,0.539248466282699,6.44873183872685,1.12789926192393e-10,4.62711796483709e-09,"Cd69",8.33468942835298,"Up",TRUE
1620.7253507892,1.6061833174366,0.260849186206943,6.15751707257518,7.38942796261276e-10,2.5498793884022e-08,"Nfkbia",7.59348036160141,"Up",TRUE
585.785333264202,1.29879968075098,0.219257747349768,5.92362047156806,3.14929821463425e-09,9.52831422331215e-08,"Gch1",7.02098392919107,"Up",TRUE
511.32138627719,2.05004187283132,0.35674190316203,5.74656875085461,9.10726107589169e-09,2.51794480272536e-07,"Rel",6.59895379453576,"Up",TRUE
127.179269750258,2.61555959307584,0.470136655133196,5.56340282026046,2.64564222169992e-08,6.57259767775098e-07,"Clcf1",6.18226295096629,"Up",TRUE
1966.30180332405,1.437561930855,0.259915091594062,5.53089057675881,3.18609036243045e-08,7.69089762292039e-07,"Zfp36",6.11402296970037,"Up",TRUE
1546.93617583781,1.16049386425765,0.212396035221029,5.4638207490549,4.65994097952613e-08,1.0741956464777e-06,"Ehd1",5.9689166120746,"Up",TRUE
842.414197160401,1.46253796793909,0.270869137401665,5.39942638710561,6.68543086516148e-08,1.46345290889446e-06,"Tap1",5.83462124776816,"Up",TRUE
33.1176231886995,3.46624732870576,0.655241012903233,5.29003414079281,1.22293530027188e-07,2.48741810234171e-06,"Bcl2a1d",5.60425120939092,"Up",TRUE
264.224017924725,1.74344212876384,0.330700983594928,5.27195930841067,1.34975007845135e-07,2.71601135144907e-06,"Ifit2",5.5660684192732,"Up",TRUE
58.8442240270924,3.03322877526113,0.575919872918876,5.26675483498794,1.38856446872956e-07,2.78419500516981e-06,"Cd80",5.55530034998702,"Up",TRUE
122.388217781204,2.69870601431709,0.5160314200224,5.22973196903387,1.69755976047096e-07,3.32505838400689e-06,"G0s2",5.47820072460767,"Up",TRUE
28.4134523147264,7.71819005802669,1.47713891036822,5.22509427099358,1.74066403021859e-07,3.39379409251939e-06,"Olr1",5.46931451063217,"Up",TRUE
465.962052870269,2.03232427750376,0.398176631720833,5.10407722502572,3.32412518799744e-07,5.9535574059451e-06,"Hbegf",5.22522345442231,"Up",TRUE
230.187556524144,2.79222859257659,0.559854041929179,4.987422405588,6.11901828506341e-07,1.00948906332843e-05,"Lif",4.99589838178408,"Up",TRUE
