"statistic","source","condition","score","p_value"
"ulm","ETS1","C4",0.24548168106315,0.806086394217217
"ulm","ETS1","M2",0.399210642631428,0.689742915549641
"ulm","ETS1","M3",0.624446251458411,0.532342769221713
"ulm","ETS1","M4",0.751536026786067,0.452340321349084
"ulm","ETS1","M5",1.29094648809487,0.196739434447144
"ulm","CLOCK","C1",0.636011496062354,0.524777318427682
"ulm","CLOCK","C2",0.711992032023667,0.476479283509551
"ulm","CLOCK","C3",0.702443101317184,0.482412297630234
"ulm","CLOCK","C4",0.24548168106315,0.806086394217217
"ulm","CLOCK","M2",0.399210642631428,0.689742915549641
"ulm","CLOCK","M3",0.624446251458411,0.532342769221713
"ulm","CLOCK","M4",0.751536026786067,0.452340321349084
"ulm","CLOCK","M5",1.29094648809487,0.196739434447144
"ulm","KLF4","C1",-0.636011496062354,0.524777318427682
"ulm","KLF4","C2",-0.711992032023667,0.476479283509551
"ulm","KLF4","C3",-0.702443101317184,0.482412297630234
"ulm","KLF4","C4",-0.24548168106315,0.806086394217217
"ulm","KLF4","M2",-0.399210642631428,0.689742915549641
"ulm","KLF4","M3",-0.624446251458411,0.532342769221713
"ulm","KLF4","M4",-0.751536026786067,0.452340321349084
"ulm","KLF4","M5",-1.29094648809487,0.196739434447144
"ulm","PITX3","C1",0.636011496062354,0.524777318427682
"ulm","PITX3","C2",0.711992032023667,0.476479283509551
"ulm","PITX3","C3",0.702443101317184,0.482412297630234
"ulm","PITX3","C4",0.24548168106315,0.806086394217217
"ulm","PITX3","M2",0.399210642631428,0.689742915549641
"ulm","PITX3","M3",0.624446251458411,0.532342769221713
"ulm","PITX3","M4",0.751536026786067,0.452340321349084
"ulm","PITX3","M5",1.29094648809487,0.196739434447144
"ulm","AP1","C1",0.636011496062354,0.524777318427682
"ulm","AP1","C2",0.711992032023667,0.476479283509551
"ulm","AP1","C3",0.702443101317184,0.482412297630234
"ulm","AP1","C4",0.24548168106315,0.806086394217217
"ulm","AP1","M2",0.399210642631428,0.689742915549641
"ulm","AP1","M3",0.624446251458411,0.532342769221713
"ulm","AP1","M4",0.751536026786067,0.452340321349084
"ulm","AP1","M5",1.29094648809487,0.196739434447144
"ulm","NFKB","C1",0.877146200676462,0.380419378216358
"ulm","NFKB","C2",0.984823931364045,0.324724296399507
"ulm","NFKB","C3",1.26238881450325,0.206825879845343
"ulm","NFKB","C4",0.691809230905322,0.489066396243245
"ulm","NFKB","M2",1.07223786116741,0.283628122635245
"ulm","NFKB","M3",1.1245032613792,0.260815144654283
"ulm","NFKB","M4",1.83395446366445,0.0666778716062596
"ulm","NFKB","M5",3.05214685678154,0.00227554468407341
